pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
25516651,Jean-Paul Le Chanois,1909,10,25,1985,7,8,75
33927450,Paul Le Person,1931,2,10,2005,8,8,74
34276120,Jean Le Poulain,1924,9,12,1988,3,1,63
32798766,Fernand Ledoux,1897,1,24,1994,9,21,97
34604841,Andre Lefaur,1879,7,25,1952,12,5,73
807637,Jean Lefebvre,1919,10,3,2004,7,9,84
20565696,Rene Lefevre (actor),1898,3,6,1991,5,23,93
35172447,Roger Legris,1898,7,3,1981,5,22,82
12129900,Philippe Leotard,1940,8,28,2001,8,25,60
50149196,Jean de Letraz,1897,2,23,1954,6,0,57
15841305,Jean de Limur,1887,11,13,1976,6,5,88
1126852,Lugne-Poe,1869,12,27,1940,6,19,70
19190134,Andre Luguet,1892,5,15,1979,5,24,87
26354974,Pierre Magnier,1869,2,22,1959,10,15,90
18499427,Francois Maistre,1925,5,14,2016,5,16,91
50821974,Albert Malbert,1914,2,27,1972,8,10,58
320701,Jean Marais,1913,12,11,1998,11,8,84
176846,Marcel Marceau,1923,3,22,2007,9,22,84
2454273,Jacques Marin,1919,9,9,2001,1,10,81
51731030,Frederic Mariotti,1883,4,1,1971,2,22,87
20362904,Serge Marquand,1930,3,12,2004,9,4,74
6895639,Mike Marshall (actor),1944,9,13,2005,6,2,60
13076069,Jean Martin,1922,3,6,2009,2,2,86
34266938,Jean Martinelli,1910,8,15,1983,3,13,72
12987111,Leon Mathot,1886,3,5,1968,3,6,82
19741854,Jacques Mauclair,1919,1,12,2001,12,21,82
47063020,Daniel Mendaille,1885,11,27,1963,5,17,77
24713476,Paul Meurisse,1912,12,21,1979,1,19,66
11679975,Jean-Pierre Mocky,1933,7,6,1933,7,6,0
18998734,Gaston Modot,1887,12,31,1970,2,20,82
23022513,Pierre Mondy,1925,2,10,2012,9,15,87
70666,Yves Montand,1921,10,13,1991,11,9,70
34270217,Robert Moor,1889,7,17,1972,12,23,83
2507682,Ivan Mosjoukine,1889,9,26,1939,1,18,49
50238943,Andre Mouezy-Eon,1880,6,9,1967,10,23,87
34287189,Bernard Musson,1925,2,22,2010,10,29,85
35182357,Michel Nastorg,1914,10,2,1984,6,9,69
15926777,Rene Navarre,1877,6,8,1968,2,8,90
20937192,Noel-Noel,1897,8,9,1989,10,5,92
1511021,Philippe Noiret,1930,10,1,2006,11,23,76
6043473,Gerard Oury,1919,4,29,2006,7,20,87
35158610,Pierre Palau,1883,8,13,1966,12,3,83
34278807,Raoul Paoli,1887,11,24,1960,3,23,72
23372396,Frederic de Pasquale,1931,3,28,2001,12,17,70
20085097,Georges Paulais,1884,9,16,1967,12,12,83
47296460,Jo Peignot,1901,1,9,1969,3,10,68
9170986,Francois Perier,1919,11,10,2002,6,29,82
51652361,Jean Peyriere,1885,10,2,1965,9,7,79
548569,Gerard Philipe,1922,12,4,1959,11,25,36
168329,Maurice Pialat,1925,8,31,2003,1,11,77
5304018,Claude Pieplu,1923,5,9,2006,5,24,83
20950834,Roger Pigaut,1919,4,8,1989,12,24,70
13850249,Sacha Pitoeff,1920,3,11,1990,7,21,70
4855510,Jean Poiret,1926,8,17,1992,4,14,65
19442704,Marc Porel,1949,1,3,1983,8,15,34
24698350,Georges Poujouly,1940,1,20,2000,10,28,60
15470987,Paul Preboist,1927,2,21,1997,3,4,70
34141094,Charles Prince (actor),1872,4,27,1933,7,18,61
9914976,Jocelyn Quivrin,1979,2,14,2009,11,15,30
34230404,Julien Rassam,1968,6,14,2002,2,3,33
50162771,Michel de Re,1925,2,25,1979,3,15,54
25932134,Sady Rebbot,1935,4,27,1994,10,12,59
851906,Serge Reggiani,1922,5,2,2004,7,23,82
50339218,Rellys,1905,12,12,1991,7,20,85
26340009,Albert Remy,1911,4,9,1967,1,26,55
46497358,Constant Remy,1882,5,20,1958,8,16,76
8905368,Georges Renavent,1894,4,23,1969,1,2,74
105329,Jean Renoir,1894,9,15,1979,2,12,84
1164978,Pierre Renoir,1885,3,21,1952,3,11,66
4769055,Pierre Richard-Willm,1895,11,3,1983,4,12,87
16462,Jean Richard,1921,4,18,2001,12,12,80
29027758,Jean-Louis Richard,1927,5,17,2012,6,3,85
50223368,Albert Rieux,1914,10,6,1983,4,15,68
22477823,Jacques Rispal,1923,8,1,1986,2,9,62
2062698,Yves Robert,1920,6,21,2002,5,10,81
14558419,Charles de Rochefort,1887,7,7,1952,1,31,64
42034065,Alfred Rode,1905,6,4,1979,7,22,74
29603833,Jean-Henri Roger,1949,1,24,2012,12,31,63
22653204,Henri Rollan,1888,3,23,1967,6,23,79
8129463,Maurice Ronet,1927,4,13,1983,3,14,55
19741916,Noel Roquevert,1892,12,18,1973,11,6,80
50290646,Gabriel Rosca,1895,9,8,1944,9,4,48
21314015,Georges Rouquier,1909,6,23,1989,12,19,80
32942001,Serge Rousseau,1930,3,13,2007,11,3,77
13001963,Henry Roussel,1875,11,17,1946,2,13,70
25000225,Jean-Paul Roussillon,1931,3,5,2009,7,31,78
22357718,Andre Rouyer,1929,6,20,1994,1,28,64
481738,Jean Sablon,1906,3,25,1994,2,24,87
14921167,Georges Saillard,1877,7,5,1967,9,11,90
628609,Xavier Saint-Macary,1948,6,7,1988,3,13,39
50169364,Jean Sarment,1897,1,12,1976,3,29,79
14921286,Maurice Schutz,1866,8,3,1955,3,22,88
37516800,Gilles Segal,1929,1,13,2014,6,11,85
31310673,Louis Seigner,1903,6,23,1991,1,20,87
50231140,Serjius,1878,11,12,1966,11,26,88
7544514,Jacques Sernas,1925,7,30,2015,7,3,89
877580,Michel Serrault,1928,1,24,2007,7,29,79
2415159,Jean Servais,1910,9,24,1976,2,17,65
13002169,Gabriel Signoret,1878,11,15,1937,3,16,58
5117649,Michel Simon,1895,4,9,1975,5,30,80
236680,Jacques Tati,1907,10,9,1982,11,5,75
6170433,Pierre Tchernia,1928,1,29,2016,10,8,88
35182647,Jean Temerson,1898,6,12,1956,8,9,58
35613933,Jacques Toja,1929,9,1,1996,3,26,66
4523245,Patrick Topaloff,1944,12,30,2010,3,7,65
27363599,Pierre Tornade,1930,1,21,2012,3,7,82
20084964,Jean Toulout,1887,9,28,1962,10,23,75
26345431,Roland Toutain,1905,10,15,1977,10,16,72
21031761,Pierre Trabaud,1922,8,7,2005,2,26,82
10770,Francois Truffaut,1932,2,6,1984,10,21,52
88915,Roger Vadim,1928,1,26,2000,2,11,72
50335858,Pierre Valde,1907,11,25,1977,2,26,69
21133552,Andre Valmy,1919,10,4,2015,11,18,96
26089237,Pierre Vaneck,1931,4,15,2010,1,31,78
11288626,Charles Vanel,1892,8,21,1989,4,15,96
46551795,Jacques Varennes,1894,11,8,1958,9,6,63
35153200,Robert Vattier,1906,10,2,1982,12,9,76
445813,Lino Ventura,1919,7,14,1987,10,22,68
51641639,Paul Vermoyal,1888,10,18,1925,9,28,36
37938615,Marcel Vibert,1883,11,2,1959,6,11,75
20964418,Henri Vidal,1919,11,26,1959,12,10,40
43509176,Henri Vilbert,1904,4,6,1997,4,19,93
58075,Herve Villechaize,1943,4,23,1993,9,4,50
1465228,Jacques Villeret,1951,2,6,2005,1,28,53
34279203,Roger Vincent,1878,5,1,1959,11,8,81
46854879,Yves Vincent,1921,8,5,2016,1,6,94
14613819,Georges Wilson,1921,10,16,2010,2,3,88
304331,Jean Yanne,1933,7,18,2003,5,23,69
26054961,Pierre Zimmer,1927,12,15,2010,5,22,82
