pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
25619490,Andrea Parisy,1935,12,4,2014,4,27,78
46568992,Daniele Parola,1905,3,28,1998,9,2,93
10625948,Christine Pascal,1953,11,29,1996,8,30,42
31300232,Gisele Pascal,1921,9,17,2007,2,2,85
27807850,Marie-Georges Pascal,1946,10,2,1985,11,9,39
50110803,Renee Passeur,1905,10,21,1975,1,16,69
21318444,Patachou,1918,6,10,2015,4,30,96
9832560,Camille De Pazzis,1978,3,9,1985,3,9,7
28991334,Helene Perdriere,1912,4,17,1992,8,27,80
21033134,Jeanne Perez,1894,9,28,1975,5,11,80
27854975,Nathalie Perrey,1929,2,28,2012,3,25,83
49554028,Michele Philippe,1926,1,17,1972,9,23,46
35095684,Marguerite Pierry,1887,12,16,1963,1,20,75
355816,Marie-France Pisier,1944,5,10,2011,4,24,66
10542600,Elvira Popescu,1894,5,10,1993,12,11,99
25851249,Marcelle Pradot,1901,7,27,1982,6,24,80
35153131,Marcelle Praince,1882,6,9,1969,10,26,87
18499337,Francoise Prevost (actress),1930,1,13,1997,11,30,67
5639507,Valerie Quennessen,1957,12,3,1989,3,19,31
28969248,Therese Quentin,1929,7,5,2015,2,20,85
937841,Gabrielle Rejane,1856,6,5,1920,6,14,64
19189955,Simone Renant,1911,3,19,2004,3,29,93
29471626,Colette Renard,1924,11,1,2010,10,6,85
5434638,Madeleine Renaud,1900,2,21,1994,9,23,94
35153364,Colette Ripert,1930,1,17,1999,5,15,69
3277310,Dany Robin,1927,4,14,1995,5,25,68
36751408,Gabrielle Robinne,1886,7,1,1980,12,18,94
25868948,France Roche,1921,4,2,2013,12,14,92
1331068,Viviane Romance,1912,7,4,1991,9,25,79
2686939,Francoise Rosay,1891,4,19,1974,3,28,82
23147066,Rosette (actress),1959,9,6,1959,9,6,0
41164880,Alida Rouffe,1874,3,20,1949,11,21,75
14921024,Germaine Sablon,1899,7,19,1985,4,17,85
28716620,Renee Saint-Cyr,1904,11,16,2004,7,11,99
22176578,Alice Sapritch,1916,7,29,1990,3,24,73
28275629,Catherine Sauvage,1929,5,26,1998,3,20,68
871143,Maria Schneider (actress),1952,3,27,2011,2,3,58
154224,Romy Schneider,1938,9,23,1982,5,29,43
582500,Delphine Seyrig,1932,4,10,1990,10,15,58
62032,Simone Signoret,1921,3,25,1985,9,30,64
29328743,Simone Silva,1928,8,15,1957,11,30,29
14052171,Maia Simon,1939,11,10,2007,9,19,67
1111345,Simone Simon,1910,4,23,2005,2,22,94
10488548,Suzy Solidor,1900,12,18,1983,3,30,82
1834226,Genevieve Sorya,1912,6,23,2008,3,23,95
38803667,Agnes Souret,1902,1,21,1928,9,30,26
39793203,Jeanne Sully,1905,4,15,1995,6,28,90
46635851,Gaby Sylvia,1920,3,24,1980,7,26,60
32137503,Andree Tainsy,1911,4,26,2004,12,19,93
17602071,Yoko Tani,1928,8,2,1999,4,19,70
2647137,Ludmilla Tcherina,1924,10,10,2004,3,21,79
42738448,Valentine Tessier,1892,8,5,1981,8,11,89
35172919,Alice Tissot,1890,1,1,1971,5,5,81
3593409,Elisa Tovati,1976,3,23,1976,3,23,0
287407,Marie Trintignant,1962,1,21,2003,8,1,41
33734438,Irene Tunc,1935,9,25,1972,1,16,36
39746337,Simone Valere,1923,8,2,2010,11,11,87
12058815,Yvonne Vallee,1899,2,21,1996,6,15,97
26625016,Rosy Varte,1923,11,23,2012,1,14,88
44572361,Berangere Vattier,1941,6,13,2001,10,10,60
50212572,Michele Verly,1909,7,19,1952,3,3,42
3173006,Denise Vernac,1916,6,3,1984,10,31,68
25299523,Odile Versois,1930,6,15,1980,6,23,50
50196637,Claude Winter,1931,2,18,2011,4,25,80
