pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
7427693,William Bakewell,1908,5,8,1993,4,15,84
2831472,Carl Ballantine,1917,9,27,2009,11,3,92
15785678,Smith Ballew,1902,1,21,1984,5,2,82
709244,Martin Balsam,1919,11,4,1996,2,13,76
864281,George Bancroft (actor),1882,9,30,1956,10,2,74
7468932,Frank Bank,1942,4,12,2013,4,13,71
2330068,Monty Banks,1897,7,18,1950,1,7,52
1599463,John Banner,1910,1,28,1973,1,28,63
18038707,Harry Bannister,1889,9,29,1961,2,26,71
3222106,Jim Bannon,1911,4,9,1984,7,28,73
4766415,Bobby Barber,1894,12,18,1976,5,24,81
24806826,George Barbier (actor),1864,11,19,1945,7,19,80
10600658,Roy Barcroft,1902,9,7,1969,11,28,67
9637960,Ben Bard,1893,1,26,1974,5,17,81
2233445,Trevor Bardette,1902,11,19,1977,11,28,75
17261251,Bradley Barker,1883,1,18,1951,9,29,68
2743116,Jess Barker,1912,6,4,2000,8,8,88
316926,Lex Barker,1919,5,8,1973,5,11,54
7196624,Reginald Barlow,1866,6,17,1943,7,6,77
24222964,Justus D. Barnes,1862,10,2,1946,2,6,83
31466498,Rayford Barnes,1920,10,23,2000,11,11,80
4233478,Walt Barnes,1918,1,26,1998,1,6,79
7315268,Charlie Barnett (comedian),1954,9,23,1996,3,16,41
17083593,Vince Barnett,1902,7,4,1977,8,10,75
1904064,Bruce Baron,1949,11,15,2013,4,13,63
5174766,Sandy Baron,1936,5,5,2001,1,21,64
4912545,Leonard Barr,1903,9,27,1980,11,22,77
2237014,Robert Barrat,1889,7,10,1970,1,7,80
26522989,Leslie Barrett,1919,10,30,2010,6,8,90
27492031,Edgar Barrier,1907,3,4,1964,6,20,57
5965360,Robert V. Barron,1932,12,26,2000,12,1,67
1968901,Bernard Barrow,1927,12,30,1993,8,4,65
27249487,George Barrows,1914,2,14,1994,10,17,80
37819881,Dave Barry (actor),1918,8,26,2001,8,16,82
1578500,Gene Barry,1919,6,14,2009,12,9,90
3695938,Don &quot;Red&quot; Barry,1912,1,11,1980,7,17,68
4559726,Wesley Barry,1907,8,10,1994,4,11,86
68065,John Barrymore,1882,2,15,1942,5,29,60
1224736,John Drew Barrymore,1932,6,4,2004,11,29,72
67022,Lionel Barrymore,1878,4,28,1954,11,15,76
2086582,Paul Bartel,1938,8,6,2000,5,13,61
2171652,Harry Bartell,1913,11,28,2004,2,26,90
45352,Richard Barthelmess,1895,5,9,1963,8,17,68
1115025,Freddie Bartholomew,1924,3,28,1992,1,23,67
18652862,Benny Bartlett,1924,8,16,1999,12,26,75
27970919,Gregg Barton,1912,6,5,2000,11,28,88
22659150,James Barton (actor),1890,11,1,1962,2,19,71
939978,Otis Barton,1899,6,7,1992,4,15,92
1195949,Steve Barton,1954,6,26,2001,7,21,47
626331,Billy Barty,1924,10,25,2000,12,23,76
4888396,Earl W. Bascom,1906,6,19,1995,8,28,89
