pageid,title,birth_y,birth_m,birth_d,death_y,death_m,death_d,death_age
5052082,Wolfgang Kieling,1924,3,16,1985,10,7,61
211233,Klaus Kinski,1926,10,18,1991,11,23,65
8550361,Rudolf Klein-Rogge,1885,11,24,1955,5,29,69
20041839,Werner Klingler,1903,10,23,1972,6,23,68
21351398,Gustav Knuth,1901,7,7,1987,2,1,85
15134886,Lee Kohlmar,1873,2,27,1946,5,14,73
19976422,Reinhard Kolldehoff,1914,4,29,1995,11,18,81
18541890,Martin Kosleck,1904,3,24,1994,1,15,89
30521593,Viktor de Kowa,1904,3,8,1973,4,8,69
36005396,Arthur Krauneck,1856,4,9,1941,4,21,85
7692369,Diether Krebs,1947,8,11,2000,1,4,52
6041812,Kurt Kreuger,1916,7,23,2006,7,12,89
35915468,Franz-Otto Kruger,1917,4,17,1988,3,17,70
41296754,Norbert Kuchinke,1940,1,1,2013,12,3,73
24342397,Friedrich Kuhne,1870,4,24,1959,10,13,89
20024291,Carl Lange (actor),1909,10,30,1999,6,23,89
42031651,Hermann Lause,1939,2,7,2005,3,28,66
35880171,Leopold von Ledebur,1876,5,18,1955,8,22,79
20026230,Stanislav Ledinek,1920,6,26,1969,3,30,48
35981301,Rudolf Lettinger,1865,10,26,1937,3,21,71
19610660,Harry Liedtke,1882,10,12,1945,4,28,62
20037563,Karl Lieffen,1926,5,17,1999,1,13,72
12347111,Albert Lieven,1906,6,22,1971,12,22,65
39994302,Kurt Lilien,1882,8,6,1943,5,28,60
19028278,Theo Lingen,1903,6,10,1978,11,10,75
11380825,Theodor Loos,1883,5,18,1954,6,27,71
28888341,Franz Loskarn,1890,5,3,1978,4,23,87
20037529,Hanns Lothar,1929,4,10,1967,3,11,37
8103738,Siegfried Lowitz,1914,9,22,1999,6,27,84
83143,Ernst Lubitsch,1892,1,28,1947,11,30,55
40000731,Gunther Luders,1905,3,5,1975,3,1,69
44596221,Alfred Maack,1882,4,5,1961,2,14,78
49714191,Gunter Mack,1930,12,12,2007,3,27,76
36018829,Hans Marr,1878,7,22,1949,3,31,70
14416520,Ferdinand Martini,1870,9,1,1930,12,23,60
40091594,Ulrich Matschoss,1917,5,16,2013,7,1,96
3968740,Ferdy Mayne,1916,3,11,1998,1,30,81
35809952,Paul Mederow,1887,6,30,1974,12,17,87
5774781,Gunter Meisner,1926,4,18,1994,12,5,68
9702543,Hannes Messemer,1924,5,19,1991,11,2,67
20038036,Harry Meyen,1924,8,31,1979,4,15,54
20040372,Hubert von Meyerinck,1896,8,23,1971,5,13,74
35870334,Hans Mierendorff,1882,6,30,1955,12,26,73
22778438,Bernhard Minetti,1905,1,26,1998,10,12,93
49677376,Hans-Peter Minetti,1926,4,21,2006,11,10,80
42614986,Hubert Moest,1877,12,3,1953,12,5,76
49658076,Heinz Moog,1908,6,28,1989,5,9,80
4806928,Ulrich Muhe,1953,6,20,2007,7,22,54
16111038,Richard Munch (actor),1916,1,10,1987,6,6,71
23672119,Max Nemetz,1886,9,7,1971,7,2,84
35991949,Wolfgang Neuss,1923,12,3,1989,5,5,65
40002236,Franz Nicklisch,1906,3,8,1975,12,6,69
20025864,Hans Nielsen (actor),1911,11,30,1965,10,11,53
46425808,Max Obal,1881,9,4,1949,5,18,67
5454218,Erik Ode,1910,11,6,1983,7,19,72
19962795,Fritz Odemar,1890,1,13,1955,6,6,65
49660354,Joseph Offenbach,1904,12,28,1971,10,15,66
15910292,Paul Otto,1878,2,8,1943,11,25,65
20016958,Hans Paetsch,1909,12,7,2002,2,3,92
13292049,Paul Panzer,1872,11,3,1958,8,16,85
19217000,Werner Peters,1918,7,7,1971,3,30,52
6942870,Ivan Petrovich,1894,1,1,1962,10,18,68
42707807,Leo Peukert,1885,8,26,1944,1,6,58
20026165,Gunter Pfitzmann,1924,4,8,2003,5,30,79
39646775,Hermann Picha,1865,3,20,1936,6,7,71
24331195,Lupu Pick,1886,1,2,1931,3,7,45
8870679,Harry Piel,1892,7,12,1963,3,27,70
49757707,Sven Pippig,1963,5,27,2013,9,25,50
31479552,Rudolf Platte,1904,2,12,1984,12,18,80
37957562,Erich Ponto,1884,12,14,1957,2,14,72
39992888,Franz Porten,1859,8,22,1932,5,21,72
22605727,Volker Prechtel,1941,8,9,1997,8,7,55
33311737,Hans-Joachim Preil,1923,6,26,1999,11,2,76
2630715,Wolfgang Preiss,1910,2,27,2002,11,27,92
37986904,Gustav Puttjer,1886,5,15,1959,8,11,73
32417626,Hans Quest,1915,8,20,1997,3,29,81
1775040,Kurt Raab,1941,7,20,1988,6,28,46
35932373,Emil Rameau,1878,8,13,1957,9,9,79
14362891,Fritz Rasp,1891,5,13,1976,11,30,85
19989187,Charles Regnier,1914,7,22,2001,9,13,87
24330722,Ernst Reicher,1885,9,19,1936,5,1,50
5201864,Frank Reicher,1875,12,2,1965,1,19,89
25840494,Wolfgang Reichmann,1932,1,7,1991,5,7,59
8353628,Heinz Reincke,1925,5,28,2011,7,13,86
49662092,Arthur Reinhardt,1893,4,17,1973,12,16,80
35953525,Eugen Rex,1884,7,8,1943,2,21,58
15434225,Ludwig Rex,1888,1,1,1979,9,29,91
20026487,Hans Richter (actor),1919,1,12,2008,10,5,89
25113349,Harry Riebauer,1921,7,4,1999,11,8,78
20028562,Walter Rilla,1894,8,22,1980,11,21,86
41877932,Otto Rippert,1869,10,22,1940,1,15,70
49659329,Willi Rose,1902,2,4,1978,6,16,76
36018082,Eduard Rothauser,1876,12,8,1956,1,24,79
49658737,Ernst Rotmund,1886,11,26,1955,3,2,68
14285353,Christian Rub,1886,4,13,1956,4,14,70
1794755,Heinz Ruhmann,1902,3,7,1994,10,3,92
